Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29845449,The Weird and the Eerie,Mark Fisher,"Fisher, Mark",,"=""1910924385""","=""9781910924389""",4,4.05,Repeater Books,Paperback,134,2017,2016,2019/02/06,2019/02/01,,,read,,,,1,,,0,,,,,
23019294,A Head Full of Ghosts,Paul Tremblay,"Tremblay, Paul",,"=""0062363239""","=""9780062363237""",3,3.81,William Morrow,Hardcover,286,2015,2015,2019/03/05,2019/02/06,horror,horror (#37),read,,,,1,,,0,,,,,
62811,Forbidden Colors,Yukio Mishima,"Mishima, Yukio",Alfred H. Marks,"=""0375705163""","=""9780375705168""",4,3.92,Vintage Books,Paperback,403,1999,1951,2019/10/03,2019/09/24,c-japan,c-japan (#21),read,,,,1,,,0,,,,,
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah     Smith,"=""""","=""""",3,3.59,Hogarth Press,Hardcover,188,2016,2007,2019/12/02,2019/11/30,horror,horror (#15),read,,,,1,,,0,,,,,
10585,Insomnia,Stephen King,"King, Stephen",Bettina Blanch Tyroller,"=""8497597729""","=""9788497597722""",3,3.82,Debolsillo,Paperback,890,2005,1994,2014/07/01,2015/08/16,horror,horror (#47),read,,,,1,,,0,,,,,
8384010,Color and Light: A Guide for the Realist Painter,James Gurney,"Gurney, James",,"=""0740797719""","=""9780740797712""",4,4.21,Andrews McMeel Publishing,Paperback,224,2010,2010,2018/07/18,2018/06/29,art,art (#3),read,,,,1,,,0,,,,,
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""""","=""""",4,3.99,William Morrow Paperbacks,Paperback,215,1993,1993,,2014/04/20,"graphic-novel, art","graphic-novel (#23), art (#2)",read,,,,1,,,0,,,,,
2784,Ways of Seeing,John Berger,"Berger, John",,"=""0140135154""","=""9780140135152""",5,3.88,Penguin,Paperback,176,1990,1972,2016/06/10,2016/01/24,art,art (#1),read,,,,1,,,0,,,,,
20579877,Fictions,Jorge Luis Borges,"Borges, Jorge Luis",Andrew Hurley,"=""0141183845""","=""9780141183848""",4,4.44,Penguin Modern Classics,Paperback,184,2000,1944,2021/04/29,2021/04/29,short-stories,short-stories (#25),read,,,,1,,,0,,,,,
597623,Smoke and Mirrors: Short Fictions and Illusions,Neil Gaiman,"Gaiman, Neil",,"=""0755322835""","=""9780755322831""",3,4.01,Headline Review,Paperback,384,2005,1998,,2014/04/20,short-stories,short-stories (#24),read,,,,1,,,0,,,,,
240095,Songs of Innocence and of Experience,William Blake,"Blake, William",Richard  Holmes,"=""1854377299""","=""9781854377296""",4,4.09,Tate Publishing,Hardcover,54,2007,1789,,2021/03/06,poetry,poetry (#6),read,,,,1,,,0,,,,,
1004145,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""0141023589""","=""9780141023588""",4,3.83,Penguin,Paperback,88,2006,1886,,2014/04/20,classics,classics (#26),read,,,,1,,,0,,,,,
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0007491565""","=""9780007491568""",4,3.99,Harper Voyager,Hardcover,227,2013,1953,,2014/04/20,classics,classics (#25),read,,,,1,,,0,,,,,
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",3,3.96,Signet Classics,Mass Market Paperback,141,1996,1945,,2020/01/13,classics,classics (#24),read,,,,1,,,0,,,,,
5470,1984,George Orwell,"Orwell, George","Erich Fromm, Regina Silveira, Amazing Améziane, Marcelo Pen, Golo Mann, Harald Sachse, Irving Howe, Raymond Williams, Thomas Pynchon, Homi K. Bhabha, Martha C. Nussbaum, Bernard Crick, George Packer","=""""","=""""",4,4.19,New American Library,Mass Market Paperback,328,1950,1949,,2014/04/20,classics,classics (#23),read,,,,1,,,0,,,,,
27822,Eugene Onegin,Alexander Pushkin,"Pushkin, Alexander",James E. Falen,"=""0192838997""","=""9780192838995""",0,4.10,Oxford University Press,Paperback,240,1998,1833,,2020/01/02,"c-russia, classics, poetry","c-russia (#19), classics (#22), poetry (#5)",read,,,,1,,,0,,,,,
128461,A Season in Hell and The Drunken Boat,Arthur Rimbaud,"Rimbaud, Arthur",Louise Varèse,"=""0811201856""","=""9780811201858""",4,4.34,New Directions,Paperback,103,1961,1872,2020/04/25,2020/04/25,poetry,poetry (#4),read,,,,1,,,0,,,,,
565149,Illuminations,Arthur Rimbaud,"Rimbaud, Arthur",Louise Varèse,"=""0811201848""","=""9780811201841""",5,4.36,New Directions ,Paperback,182,1957,1875,,2014/04/20,poetry,poetry (#3),read,,,,1,,,0,,,,,
400412,The Waste Land and Other Poems,T.S. Eliot,"Eliot, T.S.",,"=""015694877X""","=""9780156948777""",0,4.21,Harcourt Brace Jovanovich,Paperback,88,1955,1940,,2020/06/22,poetry,poetry (#2),read,,,,1,,,0,,,,,
